id,usuario_id,registrado_em,lat,lon,origem_id
248,246,2014-05-17 11:23:50,-23.5761649,-46.4929839,355030824
249,246,2014-05-17 11:29:05,-23.576119,-46.4930015,355030824
250,379,2014-05-17 11:29:15,-23.563967,-46.684557,355030862
251,256,2014-05-17 11:30:04,-23.535718,-46.637434,355030891
252,251,2014-05-17 11:32:19,-23.535335,-46.639418,355030806
253,258,2014-05-17 11:33:02,-23.551365,-46.611450,355030859
254,257,2014-05-17 11:33:07,-23.571095,-46.727211,355030812
255,72,2014-05-17 11:33:47,-23.566791,-46.594812,355030853
256,260,2014-05-17 11:36:53,-23.6977934,-46.5251879,3547809
257,396,2014-05-17 11:38:35,-23.538951,-46.695001,355030848
258,261,2014-05-17 11:41:22,-23.5522946,-46.7961267,3534401
259,258,2014-05-17 11:42:46,-23.551508,-46.611426,355030859
260,210,2014-05-17 11:44:04,-22.953698,-43.182729,3304557
261,262,2014-05-17 11:47:24,-23.549876,-46.658435,355030859
262,256,2014-05-17 11:50:08,-23.535144,-46.637408,355030891
263,263,2014-05-17 11:50:49,-23.586194,-46.641834,355030890
264,262,2014-05-17 11:53:39,-23.549900,-46.658436,355030859
265,265,2014-05-17 11:56:16,-23.5798855,-46.6906367,355030869
266,32,2014-05-17 12:08:38,-23.546110,-46.688072,355030848
267,268,2014-05-17 12:15:33,-23.557799,-46.681421,355030862
268,270,2014-05-17 12:19:21,-23.5266994,-46.5146583,355030891
269,272,2014-05-17 12:27:05,-23.557314,-46.843832,355030878
270,256,2014-05-17 12:32:28,-23.535306,-46.637290,355030891
271,275,2014-05-17 12:37:07,-23.5155782,-46.5322288,355030880
272,276,2014-05-17 12:37:44,-23.513444,-46.195756,355030831
273,277,2014-05-17 12:38:27,-23.5886772,-46.6140339,355030826
274,278,2014-05-17 12:41:02,-23.544209,-46.642603,355030866
275,270,2014-05-17 12:44:25,-23.5266994,-46.5146583,355030891
276,279,2014-05-17 12:44:40,-23.530964,-46.700615,355030848
277,280,2014-05-17 12:49:21,-23.5782837,-46.7365794,355030812
278,270,2014-05-17 12:50:26,-23.5266994,-46.5146583,355030891
279,279,2014-05-17 12:51:14,-23.530958,-46.700624,355030848
280,281,2014-05-17 12:55:37,0.0,0.0,355030869
281,280,2014-05-17 12:57:05,-23.5782992,-46.7365819,355030812
282,282,2014-05-17 12:57:05,-23.569449,-46.725987,355030812
283,283,2014-05-17 12:57:18,-23.7345224,-46.6786197,355030830
284,284,2014-05-17 12:58:41,-23.564266,-46.705499,355030812
285,283,2014-05-17 13:02:55,-23.7345216,-46.6786388,355030830
286,285,2014-05-17 13:07:47,-23.5782891,-46.7365869,355030812
287,286,2014-05-17 13:07:53,0.0,0.0,355030880
288,283,2014-05-17 13:09:40,-23.7345226,-46.6786207,355030830
289,291,2014-05-17 13:19:42,-23.6066087,-46.6770403,355030819
290,258,2014-05-17 13:20:31,-23.502514,-46.498600,355030859
291,245,2014-05-17 13:20:50,-23.4600694,-46.4959633,3518800
292,294,2014-05-17 13:23:06,-23.571873,-46.637497,355030877
293,296,2014-05-17 13:24:20,-23.4667982,-46.6389947,355030851
294,129,2014-05-17 13:33:32,-23.533989,-46.650607,355030869
295,209,2014-05-17 13:34:12,-23.534587,-46.659949,355030806
296,28,2014-05-17 13:38:53,-23.540195,-46.656322,355030869
297,297,2014-05-17 13:44:09,-23.5886772,-46.6140339,355030834
298,52,2014-05-17 13:45:38,-23.5557535,-46.6771999,355030862
299,276,2014-05-17 13:45:52,-23.467959,-46.413483,355030831
300,250,2014-05-17 13:47:42,-23.496913,-46.612646,355030806
301,35,2014-05-17 13:47:55,-23.545104,-46.636602,355030860
302,209,2014-05-17 13:48:01,-23.558707,-46.683055,355030806
303,36,2014-05-17 13:48:18,-23.545367,-46.636604,355030866
304,299,2014-05-17 13:51:50,-23.5028494,-46.7252444,355030895
305,272,2014-05-17 13:53:43,-23.557458,-46.843880,355030878
306,250,2014-05-17 13:56:46,-23.496420,-46.613273,355030806
307,302,2014-05-17 13:58:17,-23.5051038,-46.6380795,355030870
308,304,2014-05-17 14:04:42,-23.573237,-46.652626,355030845
309,36,2014-05-17 14:05:30,-23.549513,-46.636926,355030866
310,306,2014-05-17 14:06:42,-23.4867381,-46.6386349,355030826
311,308,2014-05-17 14:07:48,-23.5500646,-46.6280421,355030809
312,307,2014-05-17 14:07:58,-23.4864866,-46.7505357,355030863
313,304,2014-05-17 14:10:10,-23.573186,-46.652721,355030845
314,124,2014-05-17 14:13:27,-23.546261,-46.638537,355030848
315,310,2014-05-17 14:13:29,-23.5387178,-46.6513006,355030807
